Elapsed,Date,Time,Pitch,Roll,Heading,Latitude,Longitude,Altitude,Next WP,Velocity,RTK Status,Latitude RTK,Longitude RTK,Altitude RTK,ALT:Altitude,ALT:ID,GAS:Methane,GAS:Status
1.76358E+12,11/19/2025,42:45.1,-0.12,-1.31,102.54,40.46035154,-109.5652658,39.62,,0.34,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:45.2,-0.58,-1.23,102.53,40.46035185,-109.5652663,39.58,,0.33,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:45.3,-0.9,-0.98,102.51,40.46035217,-109.5652666,39.57,,0.32,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,20,0
1.76358E+12,11/19/2025,42:45.4,-2.22,0.34,102.55,40.46035259,-109.5652671,39.57,,0.34,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:45.5,-3.89,1.81,102.48,40.46035282,-109.5652673,39.57,,0.34,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:45.6,-5.06,2.8,102.38,40.46035311,-109.5652677,39.58,,0.3,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:45.7,-5.29,2.9,102.25,40.46035349,-109.565268,39.58,,0.25,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:45.8,-4.92,2.74,102.26,40.46035359,-109.5652681,39.56,,0.22,OFF,,,,0.1,v1:altimeter:LIGHTWARESF30D:0,480,5
1.76358E+12,11/19/2025,42:45.9,-3.64,1.87,102.24,40.46035358,-109.5652684,39.57,,0.18,OFF,,,,0.12,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:46.0,-2.85,1.32,102.25,40.46035364,-109.5652684,39.57,,0.16,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:46.1,-1.94,0.69,102.32,40.46035386,-109.5652683,39.58,,0.15,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
1.76358E+12,11/19/2025,42:46.2,-1.58,0.55,102.36,40.4603539,-109.5652684,39.59,,0.14,OFF,,,,0.11,v1:altimeter:LIGHTWARESF30D:0,,
